Date,NFLX,AAPL,MSFT,GOOG
9/17/2019,298.600006,53.524055,131.701706,61.4575
9/18/2019,291.559998,54.02607,132.784943,61.620499
9/19/2019,286.600006,53.587112,135.229355,61.935501
9/20/2019,270.75,52.803772,133.666824,61.496498
9/23/2019,265.920013,53.043861,133.379227,61.7015
9/24/2019,254.589996,52.791645,131.692093,60.938
9/25/2019,264.75,53.604088,133.590103,62.326
9/26/2019,263.309998,53.327606,133.762665,62.0695
9/27/2019,263.079987,53.068115,132.027603,61.254501
9/30/2019,267.619995,54.317093,133.273819,60.950001
10/1/2019,269.579987,54.467457,131.394974,60.255001
10/2/2019,268.029999,53.102074,129.075134,58.831501
10/3/2019,268.149994,53.553158,130.637634,59.391499
10/4/2019,272.790009,55.054356,132.401443,60.450001
10/7/2019,274.459991,55.066483,131.442902,60.383999
10/8/2019,270.720001,54.421375,130.052948,59.456501
10/9/2019,267.529999,55.059208,132.51651,60.115501
10/10/2019,280.480011,55.801319,133.340927,60.433498
10/11/2019,282.929993,57.285538,133.896866,60.772499
10/14/2019,285.529999,57.203075,133.772263,60.856998
10/15/2019,284.25,57.069702,135.708633,62.150501
10/16/2019,286.279999,56.839306,134.596664,62.181999
10/17/2019,293.350006,57.05999,133.906479,62.6535
10/18/2019,275.299988,57.33403,131.720871,62.274502
10/21/2019,278.049988,58.328362,132.698669,62.307499
10/22/2019,266.690002,58.194984,130.723923,62.139999
10/23/2019,271.269989,58.975887,131.557892,62.956501
10/24/2019,271.5,59.072899,134.146118,63.0495
10/25/2019,276.820007,59.800449,134.903397,63.2565
10/28/2019,281.859985,60.399479,138.220154,64.5
10/29/2019,281.209991,59.002563,136.916458,63.131001
10/30/2019,291.450012,58.995289,138.622757,63.064499
10/31/2019,287.410004,60.329159,137.434113,63.005501
11/1/2019,286.809998,62.041351,137.769623,63.687
11/4/2019,292.859985,62.448769,138.565262,64.568497
11/5/2019,288.029999,62.359039,138.479034,64.601501
11/6/2019,288.589996,62.385719,138.095551,64.589996
11/7/2019,289.570007,63.105717,138.287247,65.443001
11/8/2019,291.570007,63.278442,139.916885,65.568497
11/11/2019,294.179993,63.779537,140.060669,64.959503
11/12/2019,292.01001,63.72113,140.980911,64.940002
11/13/2019,283.109985,64.331703,141.210999,64.900002
11/14/2019,289.619995,63.886547,141.929916,65.572998
11/15/2019,295.029999,64.645485,143.760849,66.7435
11/18/2019,302.570007,64.971436,144.115524,66.035004
11/19/2019,302.600006,64.774414,144.163483,65.773003
11/20/2019,305.160004,64.020332,143.913376,65.152496
11/21/2019,311.690002,63.733303,143.778748,65.067497
11/22/2019,310.480011,63.677368,143.884521,64.766998
11/25/2019,315.549988,64.793877,145.461975,65.334503
